date,volume,open,high,low,close
106/03/07,48772911.00 ,12.05 ,12.10 ,11.95 ,12.05 
106/03/08,85845862.00 ,12.00 ,12.20 ,12.00 ,12.20 
106/03/09,56592412.00 ,12.30 ,12.30 ,12.05 ,12.10 
106/03/10,57242101.00 ,12.05 ,12.05 ,11.90 ,11.90 
106/03/13,31856385.00 ,11.85 ,11.95 ,11.85 ,11.85 
106/03/14,47083640.00 ,11.95 ,12.05 ,11.90 ,11.95 
106/03/15,40267138.00 ,12.05 ,12.10 ,11.90 ,11.95 
106/03/16,62734905.00 ,12.05 ,12.15 ,12.00 ,12.10 
106/03/17,47345824.00 ,12.15 ,12.20 ,12.00 ,12.10 
106/03/20,33001331.00 ,12.10 ,12.15 ,11.95 ,12.05 
106/03/21,52497839.00 ,12.05 ,12.15 ,11.95 ,11.95 
106/03/22,61298745.00 ,11.85 ,11.90 ,11.80 ,11.90 
106/03/23,62961542.00 ,12.05 ,12.15 ,11.95 ,12.00 
106/03/24,42304033.00 ,12.00 ,12.05 ,11.90 ,11.90 
106/03/27,34516452.00 ,11.90 ,12.00 ,11.85 ,11.95 
106/03/28,72944708.00 ,12.00 ,12.00 ,11.70 ,11.80 
106/03/29,123457647.00 ,11.80 ,12.10 ,11.80 ,12.05 
106/03/30,38208710.00 ,12.00 ,12.05 ,11.90 ,11.90 
106/03/31,66236351.00 ,11.90 ,12.10 ,11.85 ,11.85 
106/04/05,50914179.00 ,11.90 ,11.95 ,11.85 ,11.85 
106/04/06,66125905.00 ,11.90 ,12.05 ,11.85 ,12.05 
106/04/07,103028606.00 ,12.15 ,12.20 ,11.90 ,12.15 
106/04/10,223119660.00 ,12.20 ,12.65 ,12.20 ,12.50 
106/04/11,117394766.00 ,12.60 ,12.70 ,12.30 ,12.35 
106/04/12,158439604.00 ,12.50 ,12.90 ,12.40 ,12.80 
106/04/13,196604389.00 ,12.90 ,13.25 ,12.75 ,12.85 
106/04/14,121979253.00 ,12.80 ,13.15 ,12.75 ,12.85 
106/04/17,146658764.00 ,13.30 ,13.35 ,12.90 ,13.10 
106/04/18,81431678.00 ,13.25 ,13.25 ,13.00 ,13.00 
106/04/19,158528984.00 ,12.90 ,13.05 ,12.50 ,12.50 
106/04/20,75927003.00 ,12.55 ,12.65 ,12.35 ,12.40 
106/04/21,85625760.00 ,12.60 ,12.70 ,12.40 ,12.45 
106/04/24,70638089.00 ,12.45 ,12.50 ,12.10 ,12.25 
106/04/25,126001848.00 ,12.30 ,12.70 ,12.25 ,12.70 
106/04/26,61189478.00 ,12.80 ,12.85 ,12.55 ,12.70 
106/04/27,107870169.00 ,12.75 ,12.85 ,12.50 ,12.60 
106/04/28,202608994.00 ,12.95 ,13.00 ,12.60 ,12.60 
106/05/02,86097571.00 ,12.70 ,12.70 ,12.45 ,12.70 
106/05/03,45156333.00 ,12.65 ,12.70 ,12.55 ,12.55 
106/05/04,48925568.00 ,12.60 ,12.70 ,12.50 ,12.60 
106/05/05,58782613.00 ,12.60 ,12.65 ,12.40 ,12.40 
106/05/08,105033042.00 ,12.45 ,12.50 ,12.10 ,12.15 
106/05/09,172175491.00 ,11.65 ,11.80 ,11.55 ,11.60 
106/05/10,85316374.00 ,11.60 ,11.85 ,11.60 ,11.75 
106/05/11,118334194.00 ,11.85 ,11.85 ,11.45 ,11.45 
106/05/12,51332828.00 ,11.45 ,11.60 ,11.40 ,11.50 
106/05/15,38493254.00 ,11.60 ,11.65 ,11.55 ,11.60 
106/05/16,67227190.00 ,11.65 ,11.80 ,11.60 ,11.75 
106/05/17,59941957.00 ,11.80 ,11.85 ,11.65 ,11.75 
106/05/18,41364972.00 ,11.60 ,11.70 ,11.55 ,11.60 
106/05/19,125984830.00 ,11.75 ,12.00 ,11.75 ,11.90 
106/05/22,54759896.00 ,11.95 ,11.95 ,11.75 ,11.75 
106/05/23,43370948.00 ,11.80 ,11.95 ,11.80 ,11.90 
106/05/24,34399098.00 ,11.95 ,12.00 ,11.85 ,11.90 
106/05/25,43985286.00 ,11.95 ,11.95 ,11.85 ,11.90 
106/05/26,59721597.00 ,11.90 ,11.90 ,11.75 ,11.75 
106/05/31,45985616.00 ,11.80 ,11.85 ,11.75 ,11.75 
106/06/01,31020227.00 ,11.80 ,11.85 ,11.75 ,11.80 
106/06/02,29194575.00 ,11.85 ,11.90 ,11.80 ,11.85 
106/06/03,15235277.00 ,11.85 ,11.85 ,11.75 ,11.85 
106/06/05,84788049.00 ,11.85 ,12.05 ,11.80 ,12.00 
106/06/06,108534334.00 ,12.05 ,12.25 ,12.05 ,12.25 
106/06/07,177534642.00 ,12.35 ,12.65 ,12.35 ,12.55 
106/06/08,88498289.00 ,12.65 ,12.65 ,12.40 ,12.40 
106/06/09,76523201.00 ,12.40 ,12.50 ,12.15 ,12.15 
106/06/12,41240558.00 ,12.05 ,12.20 ,12.00 ,12.20 
106/06/13,29146122.00 ,12.15 ,12.25 ,12.15 ,12.15 
106/06/14,62681892.00 ,12.25 ,12.25 ,11.90 ,12.05 
106/06/15,71917419.00 ,12.15 ,12.35 ,12.00 ,12.35 
106/06/16,136289230.00 ,12.40 ,12.55 ,12.35 ,12.55 
106/06/19,61730490.00 ,12.55 ,12.60 ,12.45 ,12.45 
106/06/20,78985506.00 ,12.50 ,12.65 ,12.45 ,12.50 
106/06/21,142333969.00 ,12.45 ,12.80 ,12.40 ,12.75 
106/06/22,94122615.00 ,12.80 ,12.90 ,12.70 ,12.70 
106/06/23,154618686.00 ,12.80 ,13.00 ,12.75 ,12.85 
106/06/26,164389838.00 ,13.00 ,13.20 ,13.00 ,13.15 
106/06/27,225930566.00 ,13.40 ,13.60 ,13.20 ,13.40 
106/06/28,301833606.00 ,14.40 ,14.40 ,13.80 ,13.95 
106/06/29,148279874.00 ,14.20 ,14.20 ,13.70 ,13.75 
106/06/30,181860768.00 ,13.65 ,13.90 ,13.60 ,13.90 
106/07/03,151328438.00 ,13.45 ,13.60 ,13.35 ,13.55 
106/07/04,128561757.00 ,13.55 ,13.65 ,13.10 ,13.15 
106/07/05,75016560.00 ,13.25 ,13.30 ,13.05 ,13.25 
106/07/06,94658627.00 ,13.20 ,13.30 ,13.05 ,13.15 
106/07/07,136903963.00 ,12.95 ,13.05 ,12.80 ,12.80 
106/07/10,90902920.00 ,12.85 ,12.90 ,12.70 ,12.75 
106/07/11,110333560.00 ,12.85 ,13.10 ,12.85 ,13.05 
106/07/12,86956752.00 ,13.10 ,13.15 ,12.90 ,12.90 
106/07/13,151586026.00 ,12.80 ,12.80 ,12.55 ,12.55 
106/07/14,79045565.00 ,12.50 ,12.70 ,12.45 ,12.50 
106/07/17,84612060.00 ,12.65 ,12.65 ,12.30 ,12.35 
106/07/18,96074906.00 ,12.40 ,12.70 ,12.35 ,12.65 
106/07/19,100799286.00 ,12.70 ,12.80 ,12.55 ,12.55 
106/07/20,130451485.00 ,12.30 ,12.40 ,12.20 ,12.20 
106/07/21,163639368.00 ,12.10 ,12.25 ,11.95 ,12.20 
106/07/24,70988229.00 ,12.20 ,12.30 ,12.05 ,12.15 
106/07/25,70076800.00 ,12.15 ,12.30 ,12.05 ,12.25 
106/07/26,75921467.00 ,12.25 ,12.30 ,12.05 ,12.10 
106/07/27,120973375.00 ,12.30 ,12.40 ,12.20 ,12.25 
106/07/28,77926653.00 ,12.20 ,12.20 ,12.05 ,12.10 
106/07/31,49717528.00 ,12.15 ,12.25 ,12.05 ,12.20 
106/08/01,51161674.00 ,12.25 ,12.30 ,12.20 ,12.25 
106/08/02,74273015.00 ,12.15 ,12.20 ,12.05 ,12.10 
106/08/03,54966545.00 ,12.10 ,12.15 ,12.05 ,12.10 
106/08/04,78078831.00 ,12.05 ,12.30 ,12.00 ,12.20 
106/08/07,70691740.00 ,12.10 ,12.20 ,12.05 ,12.05 
106/08/08,70825350.00 ,12.10 ,12.10 ,12.00 ,12.00 
106/08/09,107378569.00 ,12.00 ,12.05 ,11.80 ,11.80 
106/08/10,77364239.00 ,11.80 ,11.95 ,11.70 ,11.70 
106/08/11,120913742.00 ,11.70 ,12.00 ,11.70 ,12.00 
106/08/14,59040806.00 ,12.00 ,12.05 ,11.80 ,11.80 
106/08/15,84180714.00 ,11.95 ,12.05 ,11.90 ,11.90 
106/08/16,89977746.00 ,11.75 ,11.80 ,11.60 ,11.70 
106/08/17,108682696.00 ,11.75 ,12.00 ,11.75 ,11.95 
106/08/18,38122810.00 ,11.85 ,11.90 ,11.75 ,11.80 
106/08/21,81250483.00 ,11.85 ,12.05 ,11.80 ,12.00 
106/08/22,146249170.00 ,12.15 ,12.30 ,12.15 ,12.30 
106/08/23,86434009.00 ,12.35 ,12.35 ,12.10 ,12.10 
106/08/24,68811284.00 ,12.10 ,12.20 ,12.05 ,12.10 
106/08/25,72905278.00 ,12.15 ,12.20 ,12.05 ,12.15 
106/08/28,160021413.00 ,12.25 ,12.45 ,12.25 ,12.35 
106/08/29,55593494.00 ,12.35 ,12.40 ,12.20 ,12.25 
106/08/30,94712907.00 ,12.25 ,12.40 ,12.20 ,12.35 
106/08/31,79196062.00 ,12.40 ,12.45 ,12.30 ,12.40 
106/09/01,59062643.00 ,12.40 ,12.45 ,12.30 ,12.40 
106/09/04,54783446.00 ,12.35 ,12.40 ,12.20 ,12.25 
106/09/05,119143724.00 ,12.30 ,12.55 ,12.30 ,12.55 
106/09/06,98846922.00 ,12.40 ,12.45 ,12.20 ,12.25 
106/09/07,77117553.00 ,12.35 ,12.40 ,12.20 ,12.20 
106/09/08,71286307.00 ,12.30 ,12.45 ,12.30 ,12.35 
106/09/11,45898245.00 ,12.40 ,12.40 ,12.25 ,12.30 
106/09/12,54233705.00 ,12.35 ,12.40 ,12.25 ,12.30 
106/09/13,58721151.00 ,12.35 ,12.45 ,12.25 ,12.40 
106/09/14,33871863.00 ,12.45 ,12.45 ,12.35 ,12.40 
106/09/15,56929884.00 ,12.45 ,12.45 ,12.35 ,12.45 
106/09/18,304425201.00 ,12.60 ,13.10 ,12.60 ,13.05 
106/09/19,232362168.00 ,13.10 ,13.15 ,12.60 ,12.60 
106/09/20,135909896.00 ,12.60 ,12.80 ,12.50 ,12.70 
106/09/21,73626081.00 ,12.75 ,12.80 ,12.60 ,12.65 
106/09/22,89682587.00 ,12.65 ,12.75 ,12.45 ,12.45 
106/09/25,54066776.00 ,12.50 ,12.55 ,12.30 ,12.30 
106/09/26,69803523.00 ,12.25 ,12.40 ,12.10 ,12.15 
106/09/27,53994147.00 ,12.25 ,12.40 ,12.20 ,12.20 
106/09/28,72377440.00 ,12.30 ,12.30 ,12.05 ,12.05 
106/09/29,94369624.00 ,12.05 ,12.20 ,11.95 ,12.15 
106/09/30,21098271.00 ,12.20 ,12.25 ,12.15 ,12.15 
106/10/02,24939657.00 ,12.20 ,12.25 ,12.15 ,12.15 
106/10/03,30933371.00 ,12.15 ,12.25 ,12.15 ,12.15 
106/10/05,58187301.00 ,12.25 ,12.40 ,12.20 ,12.35 
106/10/06,37206878.00 ,12.35 ,12.45 ,12.25 ,12.35 
106/10/11,67337095.00 ,12.05 ,12.25 ,12.05 ,12.20 
106/10/12,44860725.00 ,12.20 ,12.25 ,12.10 ,12.10 
106/10/13,44051608.00 ,12.15 ,12.30 ,12.15 ,12.20 
106/10/16,52616976.00 ,12.30 ,12.40 ,12.25 ,12.30 
106/10/17,28393154.00 ,12.35 ,12.35 ,12.20 ,12.25 
106/10/18,33429712.00 ,12.30 ,12.35 ,12.20 ,12.25 
106/10/19,158301677.00 ,12.35 ,12.65 ,12.30 ,12.55 
106/10/20,82157578.00 ,12.45 ,12.60 ,12.40 ,12.60 
106/10/23,84018311.00 ,12.50 ,12.60 ,12.35 ,12.35 
106/10/24,58673612.00 ,12.30 ,12.30 ,12.20 ,12.25 
106/10/25,61257626.00 ,12.35 ,12.45 ,12.30 ,12.45 
106/10/26,113055892.00 ,12.60 ,12.70 ,12.50 ,12.55 
106/10/27,126309723.00 ,12.50 ,12.55 ,12.35 ,12.35 
106/10/30,48540674.00 ,12.45 ,12.50 ,12.25 ,12.35 
106/10/31,33593641.00 ,12.35 ,12.35 ,12.25 ,12.35 
106/11/01,66345320.00 ,12.35 ,12.50 ,12.30 ,12.45 
106/11/02,61247222.00 ,12.50 ,12.55 ,12.35 ,12.35 
106/11/03,50461621.00 ,12.40 ,12.50 ,12.35 ,12.50 
106/11/06,61738671.00 ,12.55 ,12.55 ,12.40 ,12.55 
106/11/07,31454626.00 ,12.55 ,12.60 ,12.45 ,12.50 
106/11/08,62903862.00 ,12.40 ,12.45 ,12.30 ,12.40 
106/11/09,51203149.00 ,12.45 ,12.50 ,12.40 ,12.40 
106/11/10,44747344.00 ,12.40 ,12.45 ,12.30 ,12.30 
106/11/13,40074530.00 ,12.30 ,12.35 ,12.20 ,12.20 
106/11/14,53615900.00 ,12.25 ,12.35 ,12.20 ,12.25 
106/11/15,34084769.00 ,12.30 ,12.35 ,12.25 ,12.25 
106/11/16,84443872.00 ,12.40 ,12.55 ,12.30 ,12.40 
106/11/17,60037889.00 ,12.60 ,12.60 ,12.40 ,12.45 
106/11/20,101742575.00 ,12.55 ,12.65 ,12.55 ,12.65 
106/11/21,68468171.00 ,12.70 ,12.75 ,12.60 ,12.70 
106/11/22,243130775.00 ,12.80 ,13.05 ,12.80 ,12.90 
106/11/23,113056902.00 ,13.00 ,13.05 ,12.80 ,12.95 
106/11/24,239463149.00 ,13.00 ,13.45 ,12.95 ,13.30 
106/11/27,127724982.00 ,13.40 ,13.45 ,13.05 ,13.05 
106/11/28,102446499.00 ,13.10 ,13.30 ,13.05 ,13.15 
106/11/29,122192308.00 ,13.25 ,13.35 ,12.95 ,13.05 
106/11/30,118821137.00 ,12.80 ,12.90 ,12.70 ,12.75 
106/12/01,72278474.00 ,12.80 ,12.80 ,12.55 ,12.55 
106/12/04,147779525.00 ,12.55 ,12.75 ,12.45 ,12.55 
106/12/05,65506392.00 ,12.55 ,12.70 ,12.50 ,12.60 
106/12/06,72632312.00 ,12.70 ,12.80 ,12.50 ,12.60 
106/12/07,77439682.00 ,12.60 ,12.65 ,12.35 ,12.40 
106/12/08,61495480.00 ,12.50 ,12.50 ,12.30 ,12.50 
106/12/11,78671183.00 ,12.55 ,12.80 ,12.50 ,12.70 
106/12/12,36190046.00 ,12.70 ,12.75 ,12.50 ,12.55 
106/12/13,35906458.00 ,12.50 ,12.65 ,12.45 ,12.60 
106/12/14,30111576.00 ,12.60 ,12.65 ,12.55 ,12.60 
106/12/15,47711713.00 ,12.60 ,12.60 ,12.40 ,12.60 
106/12/18,18894803.00 ,12.55 ,12.60 ,12.45 ,12.50 
106/12/19,34604124.00 ,12.50 ,12.50 ,12.35 ,12.35 
106/12/20,44613112.00 ,12.35 ,12.50 ,12.30 ,12.35 
106/12/21,24016497.00 ,12.35 ,12.40 ,12.30 ,12.30 
106/12/22,18937523.00 ,12.40 ,12.45 ,12.35 ,12.45 
106/12/25,17142906.00 ,12.50 ,12.50 ,12.40 ,12.45 
106/12/26,25150833.00 ,12.45 ,12.50 ,12.30 ,12.35 
106/12/27,25684024.00 ,12.35 ,12.40 ,12.30 ,12.35 
106/12/28,32204848.00 ,12.40 ,12.50 ,12.35 ,12.50 
106/12/29,23247063.00 ,12.55 ,12.55 ,12.40 ,12.40 
107/01/02,36296346.00 ,12.40 ,12.45 ,12.35 ,12.35 
107/01/03,40395182.00 ,12.40 ,12.55 ,12.40 ,12.45 
107/01/04,75023561.00 ,12.55 ,12.70 ,12.50 ,12.50 
107/01/05,38785738.00 ,12.55 ,12.55 ,12.40 ,12.50 
107/01/08,36358963.00 ,12.60 ,12.65 ,12.50 ,12.60 
107/01/09,55544056.00 ,12.55 ,12.55 ,12.35 ,12.35 
107/01/10,26035814.00 ,12.40 ,12.40 ,12.35 ,12.40 
107/01/11,25479277.00 ,12.40 ,12.45 ,12.35 ,12.40 
107/01/12,120797090.00 ,12.45 ,12.70 ,12.40 ,12.60 
107/01/15,74758720.00 ,12.80 ,12.85 ,12.70 ,12.75 
107/01/16,182010238.00 ,12.75 ,13.10 ,12.70 ,13.05 
107/01/17,142881621.00 ,13.15 ,13.25 ,13.05 ,13.15 
107/01/18,102375418.00 ,13.25 ,13.25 ,13.05 ,13.05 
107/01/19,91246755.00 ,13.15 ,13.20 ,13.05 ,13.20 
107/01/22,222028936.00 ,13.30 ,13.60 ,13.25 ,13.55 
107/01/23,144342428.00 ,13.60 ,13.65 ,13.15 ,13.20 
107/01/24,386404197.00 ,13.70 ,14.05 ,13.50 ,13.80 
107/01/25,283706127.00 ,14.20 ,14.35 ,14.00 ,14.05 
107/01/26,159507688.00 ,14.15 ,14.30 ,13.90 ,14.30 
107/01/29,115317941.00 ,14.40 ,14.45 ,14.20 ,14.25 
107/01/30,148078343.00 ,14.20 ,14.20 ,13.75 ,13.80 
107/01/31,142967478.00 ,13.65 ,13.90 ,13.50 ,13.90 
107/02/01,148606832.00 ,13.70 ,13.75 ,13.50 ,13.50 
107/02/02,76842518.00 ,13.35 ,13.60 ,13.35 ,13.50 
107/02/05,98149397.00 ,13.15 ,13.35 ,13.15 ,13.35 
107/02/06,218960974.00 ,13.10 ,13.15 ,12.50 ,12.80 
107/02/07,186721496.00 ,13.15 ,13.35 ,13.10 ,13.30 
107/02/08,286131531.00 ,13.25 ,13.90 ,13.20 ,13.80 
107/02/09,204615523.00 ,13.30 ,13.55 ,13.30 ,13.35 
107/02/12,110611932.00 ,13.40 ,13.45 ,13.10 ,13.10 
107/02/21,127968642.00 ,13.50 ,13.65 ,13.40 ,13.40 
107/02/22,69557150.00 ,13.30 ,13.40 ,13.25 ,13.30 
107/02/23,50831600.00 ,13.35 ,13.40 ,13.25 ,13.30 
107/02/26,47569508.00 ,13.30 ,13.35 ,13.20 ,13.25 
107/02/27,51379647.00 ,13.30 ,13.35 ,13.10 ,13.10 
